70,0
69,0
70,0
66,0
68,0
70,0
72,0
75,0.05
95,0.45
88,0.45
80,0.45
70,0
79,0.05
87,0.45
79,0.05
65,0.35
71,0
72,0
63,0.35
74,0
83,0.45
79,0.05
76,0.05
70,0
70,0
71,0
70,0
70,0
69,0
68,0
90,0.45
90,0.45
92,0.45
90,0.45
89,0.45
93,0.45
96,0.45
98,0.45
97,0.45
93,0.45
90,0.45
88,0.45
86,0.45
84,0.45
86,0.45
86,0.45
87,0.45
85,0.45
86,0.45
86,0.45
86,0.45
84,0.45
84,0.45
84,0.45
81,0.45
82,0.45
81,0.45
81,0.45
85,0.45
87,0.45
85,0.45
66,0
65,0.35
68,0
71,0
61,0.35
58,0.35
70,0
72,0
72,0
68,0
70,0
66,0
77,0.05
69,0
72,0
71,0
68,0
68,0
75,0.05
76,0.05
71,0
70,0
67,0
67,0
67,0
66,0
67,0
62,0.35
62,0.35
66,0
63,0.35
